UID,ac_name,starttime,endtime,sponsor,lo_name
61a701ac-f396-4dd3-a46b-7d964318f71b,發現臺灣：重訪臺灣博物學與博物學家的年代Discovering Taiwan-Re-visiting the Age of Natural History and Naturalist of Taiw,2017-11-21 00:00:00,2022-12-31 23:59:00,國立臺灣博物館,國立臺灣博物館
2c00f325-7ba4-4c61-8b63-e2949a19b4e2,從基礎刺繡到進階立體刺繡，此刻的煦色韶光：線上課程,2020-01-01 00:00:00,2022-01-01 23:59:00,說說刺繡工作室Woyi Embroidery,全台灣、不限時間地點，均可觀看
40855e42-05a8-4f00-b789-73e84659907a,【音準，原來這樣調才對】－人聲音準調校線上課程,2020-07-01 00:00:00,2022-07-01 23:59:00,大禾音樂製作,任何有網路的地方即可線上觀看
b91ddda4-f155-4b2c-8a9c-0cdcd3f9e172,【歌詞，原來這樣寫才對】線上歌詞寫作課程,2020-07-01 00:00:00,2022-05-05 23:59:00,大禾音樂製作,任何有網路的地方即可觀看
4c86a3b0-5f35-42c4-9b12-014035e1c383,《我們的勇敢時刻》系列節目，公視＋平台免費線上看！,2020-08-31 00:00:00,2022-08-16 23:59:00,公共電視國際部,公視＋平台
e1d20691-5247-40c8-a7f5-e90cac7f2911,心家庭專線服務,2021-01-01 00:00:00,2021-12-31 23:59:00,社團法人台北市心生活協會,台北市心生活協會
556df29a-88fe-4241-9c03-ea8ae41c4eb0,心家庭生活支持服務,2021-01-01 00:00:00,2021-12-15 23:59:00,社團法人台北市心生活協會,台北市心生活協會
76829386-69de-4aeb-9205-3ee5efae50e6,2021凱音雅樂線上音樂課程,2021-01-16 20:00:00,2021-12-31 23:59:00,焦元溥、林仁斌、橫山幸雄、Matti Raekallio等知名師資,凱音雅樂線上平台
6666711d-46f7-4a79-943a-0dbdd7b515b5,2021黑羊大大的哲學放牧場,2021-02-06 15:30:00,2022-01-15 23:59:00,台北書林書店,台北書林書店
be067953-45d5-4860-a489-478f63897239,【新月．藝文講座】傅朝卿教授．疫情時代的心靈建築之旅！,2021-03-18 19:00:00,2021-12-16 23:59:00,新月藝文沙龍,新月藝文沙龍
458aafd3-9443-46d9-b5af-6988f25d6224,大樹講堂-森林慢板,2021-03-20 14:00:00,2021-12-25 23:59:00,財團法人大安森林之友基金會,大安森林公園大樹講堂（鄰近音樂台與生態池）
d25bc11a-d439-4de0-af95-bec20cf03343,寶藏巖常設展,2021-03-27 11:00:00,2022-02-06 18:00:00,藝術村營運部,寶藏巖國際藝術村
5c3a4b22-352b-48bc-8d9d-215951348704,2021說唱季敘,2021-03-27 14:30:00,2021-12-18 23:59:00,台北曲藝團,中正紀念堂演藝廳
c6ae8073-68d4-4b3d-be8b-8589c2571a35,「光透美學 – 玻璃藝術的無限可能」,2021-04-14 00:00:00,2021-12-20 23:59:00,中正紀念堂,中正紀念堂
a4a4309c-49e8-4e3a-afbd-fb1f05c53678,IMR康復團體,2021-04-30 00:00:00,2021-12-17 23:59:00,社團法人台北市心生活協會,臺北市客家藝文活動中心
ec1021a7-8787-42ec-847a-9c0c2e825ae0,「便當」特展,2021-05-07 00:00:00,2022-01-03 23:59:00,迪化二０七博物館,迪化二０七博物館
1dfb181c-2ba6-4a5a-88af-972542022318,迪化半日陶作教室,2021-05-20 10:00:00,2021-12-31 23:59:00,半日生活股份有限公司,迪化半日陶作教室
b7d97b77-06ab-4837-ae8b-a0f49e0f19b4,【新月．藝文講座】大不列顛．千年風華絕！,2021-05-26 19:00:00,2021-12-29 23:59:00,新月藝文,新月藝文沙龍
e082cef0-8bdd-4a92-b6ab-1b9b914fcec9,凱音雅樂免費講座｜焦元溥 - 遊藝不只黑白 ，鋼琴家的舞台上下,2021-06-08 19:30:00,2021-12-31 23:59:00,凱音雅樂,凱音雅樂ＡＰＰ
23f72598-ca98-4196-a22f-58537569f4dc,【新月．藝文講座】跟著李乾朗教授．閱讀建築！,2021-06-25 19:00:00,2022-01-21 23:59:00,新月藝文沙龍,新月藝文沙龍
b26639ee-6968-43f4-9957-181d94e914ab,悉達多在那百花盛開時-慶祝2021國定佛誕節特展藝文講座,2021-07-01 10:00:00,2022-01-31 23:59:00,佛光緣美術館台北館,佛光緣美術館台北館
eb8d32b9-eaa0-409d-a8fc-a4d19ab906c6,【線上直播教學-基礎刺繡課】-貓咪的小種子們 （材料工具組寄到家）,2021-07-16 14:00:00,2022-11-02 23:59:00,說說刺繡,說說刺繡直播教室
6b2fd4b2-9335-4fd8-a41f-6ba14b034079,「國史館當期展覽」關鍵1991：李登輝與臺灣民主元年,2021-07-30 00:00:00,2021-12-31 23:59:00,國史館,國史館2樓展場
