lo_name,admin_district,lon,lat
國立臺灣博物館,臺北市中正區,121.51499,25.041829999999997
全台灣、不限時間地點，均可觀看,臺北市松山區,0.0,0.0
任何有網路的地方即可線上觀看,臺北市松山區,0.0,0.0
任何有網路的地方即可觀看,臺北市松山區,0.0,0.0
公視＋平台,臺北市內湖區,0.0,0.0
台北市心生活協會,臺北市信義區,,
凱音雅樂線上平台,臺北市大安區,,
台北書林書店,臺北市大安區,121.53335,25.01813
新月藝文沙龍,臺北市中山區,121.5227,25.04854
大安森林公園大樹講堂（鄰近音樂台與生態池）,臺北市大安區,121.53555,25.03106
寶藏巖國際藝術村,臺北市中正區,121.53238999999999,25.01091
中正紀念堂演藝廳,臺北市中正區,121.5226,25.03598
中正紀念堂,臺北市中正區,121.5226,25.03598
臺北市客家藝文活動中心,臺北市大安區,121.53576000000001,25.03506
迪化二０七博物館,臺北市大同區,121.50958,25.05952000000001
迪化半日陶作教室,臺北市大同區,121.50984,25.05774
凱音雅樂ＡＰＰ,臺北市中正區,,
佛光緣美術館台北館,臺北市信義區,,
說說刺繡直播教室,臺北市中正區,,
國史館2樓展場,臺北市中正區,121.51068000000001,25.03991
孫運璿科技•人文紀念館,臺北市中正區,121.5115509,25.033562399999997
臺北市立大學博愛校區,臺北市中正區,121.5143,25.0356
大稻埕戲苑8樓特展區,臺北市大同區,121.51031,25.055239999999998
台北二二八紀念館,臺北市中正區,121.51553999999999,25.0403
國立台灣工藝研究發展中心  臺北當代工藝設計分館一樓,臺北市中正區,121.51235,25.03207
鳳甲美術館,臺北市北投區,121.49909,25.12513
https://www.facebook.com/TDMuseum,臺北市信義區,0.0,0.0
線上舉行：活動網頁https：//youconf.at/2021dh,臺北市松山區,0.0,0.0
《V｜Chapter 1》新世代藏家收藏展,臺北市中山區,121.52176000000001,25.0534
《V｜Chapter 1》專場導覽 - LIGHTWELL 微醺藝術之夜,臺北市中山區,121.52176000000001,25.0534
中國文化大學 華岡博物館4樓特展廳,臺北市士林區,121.53925,25.136589999999998
中央研究院歷史語言研究所 歷史文物陳列館,臺北市南港區,,
凱達格蘭文化館,臺北市北投區,121.5058,25.13711
臺北書畫院,臺北市中正區,121.52883,25.04191
紀州庵文學森林,臺北市中正區,121.52066,25.021539999999998
郵政博物館臺北館特展室,臺北市中正區,121.51212,25.04726
台北市內湖區新湖三路270號2樓,臺北市內湖區,121.5814,25.06608
臺灣珠寶藝術學院,臺北市大安區,121.53421000000002,25.03974
十方禪林台北道場,臺北市中正區,121.53196000000001,25.03387
全齡故事館,臺北市松山區,121.55428,25.0548
