routeID,providerID,providerName,routeCname,routeEname
10723,700,欣欣客運,1,1
10262,200,首都客運,2,2
11861,800,大都會客運,5,5
10882,800,大都會客運,9,9
10841,800,大都會客運,0東,0East
11811,800,大都會客運,0南,0South
10864,800,大都會客運,12,12
10891,800,大都會客運,14,14
10726,700,欣欣客運,18,18
10873,800,大都會客運,20,20
10253,200,首都客運,21,21
10832,800,大都會客運,22,22
11203,200,首都客運,26,26
15141,5100,指南客運,28,28
11066,800,大都會客運,32,32
11821,800,大都會客運,33,33
11091,800,大都會客運,37,37
10862,800,大都會客運,38,38
10863,800,大都會客運,38區,38Shuttle
11243,200,首都客運,39,39
15664,200,首都客運,39夜,39Night
15142,5100,指南客運,42,42
16559,5100,指南客運,42區,42Shuttle
10872,800,大都會客運,46,46
11831,800,大都會客運,49,49
10792,700,欣欣客運,52,52
10767,700,欣欣客運,53,53
10847,800,大都會客運,63,63
11204,200,首都客運,68,68
15362,5300,光華巴士,72,72
10822,800,大都會客運,108,108
16168,800,大都會客運,108區,108Shuttle
11813,800,大都會客運,109,109
10472,400,三重客運,111,111
15724,400,三重客運,128,128
15726,1100,大南汽車,129,129
15111,5100,指南客運,202,202
15314,5300,光華巴士,203,203
11212,200,首都客運,204,204
10181,100,臺北客運,205,205
15372,5300,光華巴士,206,206
15572,1000,東南客運,207,207
15112,5100,指南客運,208,208
15113,5100,指南客運,208區,208Shuttle
16157,5100,指南客運,208直,208Express
11232,200,首都客運,211,211
10911,900,大有巴士,212直,212Express
16132,900,大有巴士,212夜,212Night
15561,5500,中興巴士,214,214
15322,5300,光華巴士,215,215
11141,1100,大南汽車,216區,216Shuttle
11158,1100,大南汽車,218區,218Shuttle
11157,1100,大南汽車,218直,218Express
10415,400,三重客運,221,221
10842,800,大都會客運,222,222
11124,1100,大南汽車,223,223
10443,400,三重客運,225,225
16128,400,三重客運,225區,225Shuttle
11245,200,首都客運,226,226
15521,5500,中興巴士,227,227
11151,1100,大南汽車,230,230
10416,400,三重客運,232,232
10419,400,三重客運,232快,232Express
10283,200,首都客運,235,235
11763,700,欣欣客運,236區,236Shuttle
15355,5300,光華巴士,240直,240Express
15381,5300,光華巴士,246,246
15353,5300,光華巴士,247,247
15333,5300,光華巴士,250,250
10712,700,欣欣客運,251,251
11764,700,欣欣客運,251區,251Shuttle
10746,700,欣欣客運,252,252
10783,700,欣欣客運,254,254
16709,700,欣欣客運,254區,254Shuttle
11252,200,首都客運,255,255
11253,200,首都客運,255區,255Shuttle
